DEP,PC1 (1),PC2 (1),PC3 (1),PC4 (1),PC5 (1),PC6 (1),PC7 (1),PC8 (1),PC9 (1),PC10 (1),PC11 (1)
"0",-0.28012,-1.42567,1.47545,0.21150,1.70856,-2.05664,-0.13778,-0.25943,0.50871,0.02518,0.23491
"0",0.32967,0.16272,1.36231,-1.02426,-0.16407,0.40616,-0.20974,-0.55548,-0.05054,0.05664,-0.34088
"0",-1.49382,-0.37293,-1.27058,1.73990,1.08425,-1.06580,1.27121,-0.32626,0.68720,0.82843,0.53534
"0",-2.68552,0.01925,-1.73719,-0.03381,-1.11429,-0.36262,-0.06906,-0.39689,-0.70261,-0.21300,0.90836
"0",1.67188,1.80286,0.61266,-1.03357,0.94962,-0.24179,1.85576,1.65964,-0.64231,-1.00967,-0.76710
"0",0.66959,2.09190,0.48941,1.21998,-0.91367,-0.02060,-0.75939,-1.33723,-0.77099,0.19116,-0.16404
"0",0.13666,-1.34581,1.74914,0.16303,0.56661,-0.83798,-0.31582,-0.13355,0.81375,-0.15187,-0.83692
"0",0.89923,-2.07798,-0.80911,0.43578,0.70997,1.07624,-0.08145,0.94118,0.76923,-0.00384,0.51358
"0",0.28769,-1.38921,-1.21235,0.17702,0.85738,-0.86347,0.09869,0.49377,0.32887,-0.12871,0.87778
"0",-1.24148,-0.89324,-0.23903,1.27945,0.16413,1.84340,0.73357,1.47336,-0.66926,-0.50108,0.01495
"0",0.63033,-0.09749,-1.68929,-0.12637,0.33585,-0.28046,0.40362,-0.44189,-0.42510,-0.01314,-0.25803
"0",2.33679,1.45803,0.73985,-1.15276,0.81684,0.08465,1.65548,2.03769,-0.70543,-0.15816,-0.55265
"0",0.27173,-0.56005,-1.37266,0.65605,1.91047,-0.52267,0.87889,-0.31544,-0.06862,-0.80387,0.84341
"0",-0.64396,1.96771,0.41594,1.47626,0.18810,0.58848,-1.48235,-0.99600,0.50205,-0.11346,-0.24186
"0",-1.05383,-0.39772,-1.28985,1.87348,0.91535,-1.46298,1.33101,-0.14834,0.78644,0.18016,0.88168
"0",-0.33644,-0.25756,2.24225,-0.35654,-0.30877,1.35932,0.00693,0.83922,-0.16154,-1.21492,0.48952
"0",1.82823,-0.79452,0.66917,-0.97146,-1.70711,-0.68320,-1.05692,-0.31643,0.24384,0.48573,0.64571
"0",-1.35726,-1.47043,0.12188,1.32116,0.14930,2.46563,0.50830,2.05410,-0.63708,-0.23609,-0.29091
"0",-0.66812,-0.58171,-0.86131,-0.63991,-0.07501,-0.48872,-0.35732,-0.33095,-0.44378,0.01022,-0.26638
"0",0.85312,-0.15972,0.77283,0.80223,-0.30420,-1.17546,0.70027,0.52331,0.22482,0.58080,0.38092
"0",1.88532,0.01752,-0.66443,-1.20820,-1.09158,-0.76476,-0.07417,0.58623,0.12676,-1.87405,-0.15837
