DEP,PC10,PC9,PC8,PC7,PC6,PC5,PC4,PC3,PC2,PC1
"1",0.00047,0.01315,-0.36033,-0.20285,0.49460,-1.10647,-0.02417,-0.48657,1.60376,-0.05787
"1",-0.00122,0.01216,0.18905,-1.63089,-0.77218,-0.36652,-0.34333,-0.23819,0.50762,-0.03735
"1",-0.00087,0.17823,-0.20722,-0.98525,0.13107,-0.04621,-0.12724,-0.44364,-0.35179,-0.21312
"1",-0.00007,-0.09635,0.63105,-0.47598,0.83686,2.26448,0.44242,1.14720,-0.23689,0.16935
"1",-0.00110,-0.16024,1.02212,-0.55024,-0.45870,0.31038,0.78870,0.41352,-1.03094,-0.03536
"1",-0.00116,-0.15888,-1.48220,-0.95477,0.22690,0.30953,0.45744,-1.19516,-0.10155,-0.04289
"1",0.00022,0.21440,0.44820,0.23557,0.34782,-0.08008,0.72060,1.74372,4.28788,0.04747
"1",-0.00187,0.02916,-0.05669,0.09032,-0.76274,-0.75936,-1.86337,2.86704,4.05417,0.40283
"1",-0.00074,-0.19642,-0.84478,-0.92373,0.34538,0.39248,0.64877,-1.05400,-0.23261,-0.01965
"1",-0.00120,-0.18923,-1.66874,-0.87243,0.39958,0.12860,0.37407,-0.95736,-0.67025,-0.05863
"1",-0.00093,-0.11877,0.15450,-0.35434,0.10563,0.70554,0.11853,0.41426,-1.23238,0.00891
"1",-0.00038,0.07725,0.43857,-0.19946,-0.15625,1.22613,-0.76888,-0.52787,-0.88563,0.00763
"1",-0.00055,0.14624,-0.20478,-0.08859,0.03407,-0.28041,-0.92871,-0.90744,-0.74301,-0.15078
"1",-0.00144,-0.15912,-0.02235,0.13096,1.66909,-0.14834,-0.59787,-1.40827,2.31083,0.23617
"0",0.00036,0.04156,0.30059,0.08534,-0.02631,0.35531,-1.41170,-0.70357,0.42676,0.11463
"0",0.00081,-0.14528,0.60640,0.72161,-0.18839,-0.19224,-0.29214,-1.21656,0.08434,0.06470
"0",-0.00112,0.13041,0.86050,0.34795,-0.31614,-0.78308,-0.84028,0.13579,-0.00562,-0.08401
"0",-0.00027,0.20192,0.64928,0.64680,0.33235,-0.02465,-1.30795,-0.67171,0.48201,-0.01757
"0",0.00033,-0.15794,0.12058,0.42526,-0.68099,0.38417,-1.14575,-0.63610,-0.09487,0.19526
"0",0.00054,0.12871,0.45131,0.48477,-0.35512,-0.09044,-0.25938,-1.02740,0.26303,-0.11564
"0",0.00204,-0.08865,0.24193,-0.20928,0.30821,0.91646,1.06451,-0.32808,0.10093,-0.03150
"0",0.00035,-0.05353,-0.03272,0.09155,-0.59573,1.60124,-0.06880,-0.26007,0.47774,0.13658
"0",0.00127,0.08113,-0.28412,0.30766,-1.09910,-0.13576,-0.35052,-0.41624,0.94947,-0.03955
"0",0.00038,0.09530,0.35570,-0.55586,-1.05133,-0.80337,-0.19264,-0.54924,0.12980,-0.16596
"0",0.00030,0.22540,-0.04251,-0.16835,-0.58963,0.04341,-0.06381,-0.81728,0.84915,-0.17232
"0",0.00043,0.05077,-0.00949,-0.80202,-1.83123,0.49481,1.09150,-1.34278,-0.29464,-0.23561
"0",-0.00051,-0.16010,-0.61702,0.65957,-0.70240,1.94021,1.11937,0.82320,-0.20416,0.08848
"0",-0.00054,0.14920,-0.86711,0.63904,-0.61200,1.73908,1.78999,1.03397,-0.30814,-0.22420
"0",0.00051,0.05603,0.11650,0.67885,-1.10376,2.31456,0.67078,0.68713,1.84885,0.15249
"0",0.00032,0.20419,-0.16615,0.38033,-0.96666,2.40159,0.07597,1.49742,1.06772,0.07969
"0",-0.00043,0.17358,-0.86952,0.66055,-0.70560,1.74447,1.04923,1.24739,-0.42115,-0.16429
"0",-0.00012,0.32568,-0.63893,0.64476,-0.70504,2.05917,-0.08846,1.64580,-0.26300,-0.10247
"0",-0.00049,0.03800,-0.77835,0.74701,-0.64124,2.40502,0.04741,1.15273,-0.21380,0.10205
"0",-0.00088,-0.02613,-0.46840,0.56785,-0.56186,2.24601,-0.23364,0.98379,0.06262,0.18512
"0",0.00007,0.31495,0.14662,-0.89736,-0.70641,-0.38046,0.40495,0.35346,0.26442,-0.32690
"0",-0.00106,-0.02622,-0.68426,-0.78582,-1.90748,0.16101,-0.66634,-1.00966,0.48133,0.02474
"0",0.00141,-0.11588,0.26840,-0.06284,1.24447,1.44805,0.87535,1.61620,-0.63023,0.05960
"0",-0.00046,0.31111,0.56905,-0.21207,0.67628,-0.27155,0.91600,-0.02715,1.16938,-0.29957
"0",-0.00094,0.08610,0.56440,-0.12229,0.74230,-0.73301,0.90680,-0.09046,0.71910,-0.20162
"0",-0.00033,0.34950,0.75545,-0.51459,0.40116,-0.56329,0.95813,-0.01171,1.56535,-0.32734
