DEP,PC11 (1),PC10 (1),PC9 (1),PC8 (1),PC7 (1),PC6 (1),PC5 (1),PC4 (1),PC3 (1),PC2 (1),PC1 (2)
"0",0.00062,0.15601,-0.90311,-0.35928,-0.78324,0.09934,-1.19367,-1.23312,-1.23787,0.95097,-0.27213
"1",-0.00016,-0.18343,-0.94230,0.38671,-1.09519,-1.31712,1.12874,-1.04661,-0.09277,1.47373,0.35863
"1",0.00043,0.02311,-0.37094,0.15303,-0.67051,0.71106,-0.29032,-0.85320,0.12987,1.56578,-0.07445
"1",-0.00118,0.03586,0.15109,-1.64541,-1.11596,-0.23712,-0.11072,-0.52918,0.32825,0.51173,-0.06084
"1",-0.00077,0.20325,-0.22725,-0.75317,-0.71065,-0.08429,-0.15530,-1.04871,0.10006,-0.26203,-0.24147
"0",-0.00094,-0.10500,0.04848,-0.58310,-0.23658,1.22930,0.64013,-0.72010,-0.94623,-0.67215,-0.05397
"0",-0.00007,-0.13368,-0.56286,0.31228,0.03269,0.06010,-0.69485,-0.64096,-0.55790,-0.78349,-0.09263
"0",-0.00001,0.21038,-0.42800,-0.00974,0.01342,-0.14351,-0.20956,-0.74708,-0.12013,-0.80610,-0.27109
"1",0.00029,-0.05198,0.65293,-0.38028,0.59591,-0.57953,0.26192,-0.84617,0.32159,0.38384,0.10513
"0",-0.00017,0.03440,0.61752,-0.50259,0.47832,-0.56362,-0.21801,-0.57899,-0.64821,-0.53201,-0.06723
"1",-0.00097,-0.12714,0.99943,-1.14553,0.23959,0.26937,-0.61147,-0.41725,0.50813,-0.75780,-0.07396
"1",-0.00101,-0.12846,-1.50216,-0.77115,-0.53175,-0.06536,-0.59370,-1.33751,-0.76523,-0.05244,-0.06813
"0",0.00032,-0.26896,-0.05804,0.50320,-0.30180,1.54726,-2.75050,1.76412,-0.33954,-1.45016,-0.35923
"0",-0.00069,0.00911,-0.16480,-0.21279,2.54854,-1.52704,0.86549,0.43404,0.47530,1.49458,0.28376
"0",-0.00036,-0.13901,0.18188,-0.11041,0.91877,-0.54774,-0.65943,0.52870,-0.73093,0.38447,0.06694
